Name,Team,Pos,ARM,GLOVE
Brandon Crawford,SFG,SS,16,3
Miguel Rojas,LAD,SS,89,72
Elvis Andrus,CHW,SS,7,39
Enrique Hernández,2 Tms,SS,63,2
Jon Berti,MIA,SS,72,80
Nick Ahmed,ARI,SS,16,56
Xander Bogaerts,SDP,SS,5,51
Trevor Story,BOS,SS,56,92
Francisco Lindor,NYM,SS,86,100
Javier Báez,DET,SS,96,4
Orlando Arcia,ATL,SS,5,0
Corey Seager,TEX,SS,100,94
Chris Taylor,LAD,SS,56,51
Joey Wendle,MIA,SS,92,59
Carlos Correa,MIN,SS,10,21
Andrew Velazquez,LAA,SS,63,8
Yu Chang,BOS,SS,89,80
Kyle Farmer,MIN,SS,14,37
Tim Anderson,CHW,SS,63,3
J.P. Crawford,SEA,SS,72,2
Amed Rosario,2 Tms,SS,7,5
Aledmys Díaz,OAK,SS,83,31
Willy Adames,MIL,SS,78,97
Trea Turner,PHI,SS,1,8
Pablo Reyes,BOS,SS,10,42
Jorge Mateo,BAL,SS,30,89
Paul DeJong,3 Tms,SS,10,42
Dansby Swanson,CHC,SS,27,97
Garrett Hampson,MIA,SS,43,45
Tommy Edman,STL,SS,20,56
Bo Bichette,TOR,SS,14,92
Luis Rengifo,LAA,SS,43,6
Kevin Smith,OAK,SS,20,42
Jeremy Peña,HOU,SS,98,70
Rodolfo Castro,PIT,SS,20,7
Nick Allen,OAK,SS,96,93
Taylor Walls,TBR,SS,72,42
Gabriel Arias,CLE,SS,94,82
Geraldo Perdomo,ARI,SS,94,86
Tucupita Marcano,PIT,SS,14,28
Jose Barrero,CIN,SS,56,23
Wander Franco,TBR,SS,43,92
Ezequiel Duran,TEX,SS,16,60
Ezequiel Tovar,COL,SS,92,83
Liover Peguero,PIT,SS,14,13
Bobby Witt Jr.,KCR,SS,20,51
CJ Abrams,WSN,SS,7,94
Gunnar Henderson,BAL,SS,43,100
Elly De La Cruz,CIN,SS,43,4
Masyn Winn,STL,SS,56,35
Casey Schmitt,SFG,SS,63,60
Alika Williams,PIT,SS,27,21
Anthony Volpe,NYY,SS,20,87
Matt McLain,CIN,SS,43,82
Zach Neto,LAA,SS,72,18
Mike Moustakas,2 Tms,3B,72,35
Josh Donaldson,2 Tms,3B,86,81
Jean Segura,MIA,3B,34,11
Eduardo Escobar,2 Tms,3B,56,59
Evan Longoria,ARI,3B,16,78
Nolan Arenado,STL,3B,43,31
DJ LeMahieu,NYY,3B,34,88
Gio Urshela,LAA,3B,78,66
Manny Machado,SDP,3B,96,94
Jon Berti,MIA,3B,43,83
Jace Peterson,2 Tms,3B,16,59
Eugenio Suárez,SEA,3B,10,22
Anthony Rendon,LAA,3B,43,9
Max Muncy,LAD,3B,56,0
Ildemaro Vargas,WSN,3B,20,83
José Ramírez,CLE,3B,16,83
Patrick Wisdom,CHC,3B,90,10
Jeimer Candelario,2 Tms,3B,43,51
Kyle Farmer,MIN,3B,30,39
Ryan McMahon,COL,3B,2,99
Aledmys Díaz,OAK,3B,43,37
J.D. Davis,SFG,3B,7,63
Matt Chapman,TOR,3B,96,94
Isiah Kiner-Falefa,NYY,3B,10,69
Edmundo Sosa,PHI,3B,10,10
Yoán Moncada,CHW,3B,83,88
Willi Castro,MIN,3B,43,78
Rafael Devers,BOS,3B,5,9
Alex Bregman,HOU,3B,43,73
Brian Anderson,MIL,3B,86,91
Austin Riley,ATL,3B,78,13
Ke'Bryan Hayes,PIT,3B,98,87
Ramón Urías,BAL,3B,63,91
Nick Senzel,CIN,3B,78,25
Nicky Lopez,2 Tms,3B,43,76
Zach McKinstry,DET,3B,43,21
Andruw Monasterio,MIL,3B,86,66
Josh Rojas,2 Tms,3B,34,45
Emmanuel Rivera,ARI,3B,72,55
Miles Mastrobuoni,CHC,3B,63,55
Isaac Paredes,TBR,3B,20,15
Royce Lewis,MIN,3B,63,17
Nick Madrigal,CHC,3B,20,85
Jose Miranda,MIN,3B,56,34
Matt Vierling,DET,3B,63,49
Alec Bohm,PHI,3B,72,83
Nick Maton,DET,3B,56,1
Jake Burger,2 Tms,3B,90,39
Taylor Walls,TBR,3B,27,39
Jordan Diaz,OAK,3B,30,15
Maikel Garcia,KCR,3B,83,76
Oswald Peraza,NYY,3B,14,70
Jared Triolo,PIT,3B,72,66
Brett Baty,NYM,3B,56,1
Gunnar Henderson,BAL,3B,86,96
Josh Jung,TEX,3B,14,98
Spencer Steer,CIN,3B,34,22
Noelvi Marte,CIN,3B,63,14
Elly De La Cruz,CIN,3B,43,66
Ha-Seong Kim,SDP,3B,30,54
Casey Schmitt,SFG,3B,83,73
Jose Altuve,HOU,2B,56,10
Elvis Andrus,CHW,2B,56,31
Whit Merrifield,TOR,2B,34,37
Brandon Drury,LAA,2B,72,80
Kolten Wong,2 Tms,2B,2,18
Marcus Semien,TEX,2B,100,97
Jorge Polanco,MIN,2B,10,18
Mookie Betts,LAD,2B,83,66
Ketel Marte,ARI,2B,92,49
Harold Castro,COL,2B,30,63
Kyle Farmer,MIN,2B,78,70
Tony Kemp,OAK,2B,20,18
Adam Frazier,BAL,2B,16,54
Jeff McNeil,NYM,2B,78,60
Thairo Estrada,SFG,2B,30,69
Christian Arroyo,BOS,2B,94,92
Mauricio Dubón,HOU,2B,99,37
Ozzie Albies,ATL,2B,7,18
Luis Urías,2 Tms,2B,72,35
Gleyber Torres,NYY,2B,1,14
Brendan Rodgers,COL,2B,3,37
Jake Cronenworth,SDP,2B,92,78
Luis Arraez,MIA,2B,94,87
Andy Ibáñez,DET,2B,34,31
Brandon Lowe,TBR,2B,5,11
Cavan Biggio,TOR,2B,63,45
Nicky Lopez,2 Tms,2B,78,85
Zach McKinstry,DET,2B,16,6
Tommy Edman,STL,2B,63,28
Zack Short,DET,2B,78,55
Josh Rojas,2 Tms,2B,10,23
Zach Remillard,CHW,2B,86,35
Luis Rengifo,LAA,2B,90,56
Andrés Giménez,CLE,2B,16,98
Santiago Espinal,TOR,2B,78,34
Alan Trejo,COL,2B,20,35
Miguel Vargas,LAD,2B,83,15
Luis García,WSN,2B,3,6
Nico Hoerner,CHC,2B,3,66
Jonathan India,CIN,2B,72,26
Enmanuel Valdez,BOS,2B,10,10
Rodolfo Castro,2 Tms,2B,72,45
Brice Turang,MIL,2B,99,89
Nolan Gorman,STL,2B,43,18
Taylor Walls,TBR,2B,72,76
Lenyn Sosa,CHW,2B,7,45
José Caballero,SEA,2B,96,23
Ji Hwan Bae,PIT,2B,3,4
Liover Peguero,PIT,2B,34,42
Owen Miller,MIL,2B,20,28
Brendan Donovan,STL,2B,20,7
Bryson Stott,PHI,2B,0,96
Nick Gonzales,PIT,2B,27,21
Ha-Seong Kim,SDP,2B,3,86
Edouard Julien,MIN,2B,1,14
Michael Massey,KCR,2B,34,78
Brett Wisely,SFG,2B,20,14
Jordan Westburg,BAL,2B,90,90
Matt McLain,CIN,2B,63,28
Zack Gelof,OAK,2B,86,63
Carlos Santana,2 Tms,1B,30,30
Anthony Rizzo,NYY,1B,43,18
Joey Votto,CIN,1B,43,31
Mike Moustakas,2 Tms,1B,30,73
Justin Turner,BOS,1B,34,63
Freddie Freeman,LAD,1B,56,76
Wilmer Flores,SFG,1B,43,75
Donovan Solano,MIN,1B,34,30
Paul Goldschmidt,STL,1B,34,28
DJ LeMahieu,NYY,1B,43,60
Brandon Belt,TOR,1B,34,56
Kole Calhoun,CLE,1B,43,45
Bryce Harper,PHI,1B,43,45
Brandon Drury,LAA,1B,63,42
C.J. Cron,2 Tms,1B,78,72
Josh Bell,2 Tms,1B,43,26
Christian Walker,ARI,1B,20,89
Joey Gallo,MIN,1B,43,59
Matt Olson,ATL,1B,34,45
Trey Mancini,CHC,1B,43,25
Garrett Cooper,2 Tms,1B,34,45
Dominic Smith,WSN,1B,78,97
José Abreu,HOU,1B,34,39
Rowdy Tellez,MIL,1B,56,51
Cody Bellinger,CHC,1B,43,54
Ryan O'Hearn,BAL,1B,20,66
Connor Joe,PIT,1B,56,65
Yandy Díaz,TBR,1B,27,73
Ty France,SEA,1B,56,60
Jake Cronenworth,SDP,1B,63,66
LaMonte Wade Jr.,SFG,1B,34,12
Ryan Mountcastle,BAL,1B,34,78
Josh Naylor,CLE,1B,27,51
Yuli Gurriel,MIA,1B,34,73
Pete Alonso,NYM,1B,43,23
Luke Raley,TBR,1B,43,26
Nathaniel Lowe,TEX,1B,63,56
Vladimir Guerrero Jr.,TOR,1B,43,31
Alex Kirilloff,MIN,1B,43,28
Elehuris Montero,COL,1B,63,49
Kody Clemens,PHI,1B,34,39
Alfonso Rivas,2 Tms,1B,63,63
Alec Bohm,PHI,1B,56,15
Nick Pratto,KCR,1B,63,75
Triston Casas,BOS,1B,43,73
Ryan Noda,OAK,1B,30,60
Owen Miller,MIL,1B,43,35
Andrew Vaughn,CHW,1B,30,89
Spencer Steer,CIN,1B,43,42
Spencer Torkelson,DET,1B,63,3
Vinnie Pasquantino,KCR,1B,63,49
Matt Mervis,CHC,1B,43,23
Christian Encarnacion-St...,CIN,1B,78,69
Nolan Schanuel,LAA,1B,34,42
Jason Heyward,LAD,RF,28,64
Giancarlo Stanton,NYY,RF,24,39
Robbie Grossman,TEX,RF,18,18
Charlie Blackmon,COL,RF,72,83
Starling Marte,NYM,RF,24,5
Wil Myers,CIN,RF,33,52
Nick Castellanos,PHI,RF,1,0
Max Kepler,MIN,RF,38,82
George Springer,TOR,RF,89,87
Teoscar Hernández,SEA,RF,62,92
Mookie Betts,LAD,RF,89,81
Tyrone Taylor,MIL,RF,89,93
Jorge Soler,MIA,RF,24,15
Anthony Santander,BAL,RF,23,52
Manuel Margot,TBR,RF,38,57
Mike Yastrzemski,SFG,RF,44,71
Jake Bauers,NYY,RF,33,6
Jeff McNeil,NYM,RF,68,65
Kris Bryant,COL,RF,62,29
Hunter Renfroe,2 Tms,RF,93,9
Aaron Judge,NYY,RF,89,36
Michael Conforto,SFG,RF,78,18
Connor Joe,PIT,RF,79,66
Lane Thomas,WSN,RF,3,4
Alex Verdugo,BOS,RF,99,98
Ramón Laureano,2 Tms,RF,94,84
DJ Stewart,NYM,RF,20,8
Seth Brown,OAK,RF,75,73
Brian Anderson,MIL,RF,92,68
Kyle Tucker,HOU,RF,3,42
Ronald Acuña Jr.,ATL,RF,48,14
Cavan Biggio,TOR,RF,23,15
Jake Fraley,CIN,RF,17,65
Adolis García,TEX,RF,99,94
Luke Raley,TBR,RF,12,52
Zach McKinstry,DET,RF,78,76
Brent Rooker,OAK,RF,23,36
Fernando Tatis Jr.,SDP,RF,98,99
Joshua Palacios,PIT,RF,85,83
Gavin Sheets,CHW,RF,16,21
Jesús Sánchez,MIA,RF,31,7
Josh Lowe,TBR,RF,83,89
Drew Waters,KCR,RF,94,87
Nolan Jones,COL,RF,80,45
Oscar Gonzalez,CLE,RF,12,31
Lars Nootbaar,STL,RF,85,65
Matt Vierling,DET,RF,15,25
Jake McCarthy,ARI,RF,7,87
Oswaldo Cabrera,NYY,RF,42,34
Will Benson,CIN,RF,72,89
MJ Melendez,KCR,RF,56,46
Nelson Velázquez,2 Tms,RF,40,51
Will Brennan,CLE,RF,87,85
Corbin Carroll,ARI,RF,18,96
Kerry Carpenter,DET,RF,56,48
Jordan Walker,STL,RF,1,2
Henry Davis,PIT,RF,36,2
Sal Frelick,MIL,RF,68,80
Seiya Suzuki,CHC,RF,38,55
Oscar Colás,CHW,RF,0,3
David Peralta,LAD,LF,95,96
Tommy Pham,2 Tms,LF,44,29
Robbie Grossman,TEX,LF,53,57
Aaron Hicks,2 Tms,LF,48,25
Randal Grichuk,2 Tms,LF,65,59
Corey Dickerson,WSN,LF,11,24
Jurickson Profar,2 Tms,LF,3,24
Whit Merrifield,TOR,LF,84,74
Mark Canha,2 Tms,LF,33,45
Christian Yelich,MIL,LF,2,60
Eddie Rosario,ATL,LF,28,18
Kevin Pillar,ATL,LF,16,21
Chris Taylor,LAD,LF,88,57
Travis Jankowski,TEX,LF,47,80
Rob Refsnyder,BOS,LF,93,63
Joey Gallo,MIN,LF,15,11
Mitch Haniger,SFG,LF,75,75
Jake Cave,PHI,LF,53,55
Tony Kemp,OAK,LF,80,55
Jeff McNeil,NYM,LF,33,39
Billy McKinney,NYY,LF,56,55
Tyler O'Neill,STL,LF,88,73
Kyle Schwarber,PHI,LF,18,1
Isiah Kiner-Falefa,NYY,LF,56,32
Willi Castro,MIN,LF,79,76
Taylor Ward,LAA,LF,28,71
Andrew Benintendi,CHW,LF,11,14
Ian Happ,CHC,LF,96,99
Lourdes Gurriel Jr.,ARI,LF,98,98
Stone Garrett,WSN,LF,48,70
Randy Arozarena,TBR,LF,20,39
Alex Call,WSN,LF,44,25
Bryan Reynolds,PIT,LF,40,63
Austin Hays,BAL,LF,76,95
Yordan Alvarez,HOU,LF,69,20
Chas McCormick,HOU,LF,31,42
Bryan De La Cruz,MIA,LF,6,28
Brent Rooker,OAK,LF,70,43
Edward Olivares,KCR,LF,40,5
Daulton Varsho,TOR,LF,73,74
Juan Soto,SDP,LF,36,36
Corey Julks,HOU,LF,84,52
Stuart Fairchild,CIN,LF,38,66
Nolan Jones,COL,LF,97,94
Trevor Larnach,MIN,LF,44,48
Matt Vierling,DET,LF,47,69
Oswaldo Cabrera,NYY,LF,56,43
Will Benson,CIN,LF,5,11
Akil Baddoo,DET,LF,78,50
MJ Melendez,KCR,LF,80,48
Jarred Kelenic,SEA,LF,9,10
Everson Pereira,NYY,LF,70,60
Ezequiel Duran,TEX,LF,20,14
Steven Kwan,CLE,LF,12,91
Jake Alu,WSN,LF,60,43
Blake Sabol,SFG,LF,18,21
Corbin Carroll,ARI,LF,10,28
Spencer Steer,CIN,LF,48,35
JJ Bleday,OAK,LF,55,51
Matt Wallner,MIN,LF,65,52
Alec Burleson,STL,LF,61,21
Masataka Yoshida,BOS,LF,42,25
Aaron Hicks,2 Tms,CF,28,12
Trayce Thompson,2 Tms,CF,42,28
Mike Trout,LAA,CF,48,15
Adam Duvall,BOS,CF,76,12
Kevin Kiermaier,TOR,CF,48,89
Jake Marisnick,3 Tms,CF,31,78
Michael A. Taylor,MIN,CF,42,76
Brandon Nimmo,NYM,CF,70,25
Jackie Bradley Jr.,KCR,CF,73,78
Manuel Margot,TBR,CF,9,10
Mike Yastrzemski,SFG,CF,83,70
Jonathan Davis,MIA,CF,26,30
Mike Tauchman,CHC,CF,65,43
Cody Bellinger,CHC,CF,5,32
Isiah Kiner-Falefa,NYY,CF,55,62
Mauricio Dubón,HOU,CF,65,82
Willi Castro,MIN,CF,36,15
Jose Siri,TBR,CF,76,76
Myles Straw,CLE,CF,60,59
Cedric Mullins,BAL,CF,8,36
Harrison Bader,2 Tms,CF,73,87
Victor Robles,WSN,CF,38,8
Trent Grisham,SDP,CF,6,85
Leody Taveras,TEX,CF,62,68
Alex Call,WSN,CF,44,21
Tommy Edman,STL,CF,28,62
TJ Friedl,CIN,CF,88,48
Chas McCormick,HOU,CF,92,96
Daulton Varsho,TOR,CF,87,97
Mickey Moniak,LAA,CF,24,35
Luis Robert Jr.,CHW,CF,55,46
Dylan Carlson,STL,CF,33,60
Brandon Marsh,PHI,CF,11,39
Jake Meyers,HOU,CF,80,90
Jazz Chisholm Jr.,MIA,CF,33,12
Drew Waters,KCR,CF,8,18
Lars Nootbaar,STL,CF,70,75
Matt Vierling,DET,CF,53,15
Kyle Isbel,KCR,CF,20,92
Esteury Ruiz,OAK,CF,2,1
Jack Suwinski,PIT,CF,12,34
Lawrence Butler,OAK,CF,83,36
Julio Rodríguez,SEA,CF,28,36
Alek Thomas,ARI,CF,61,78
Parker Meadows,DET,CF,62,71
Ji Hwan Bae,PIT,CF,17,57
Johan Rojas,PHI,CF,48,84
Jarren Duran,BOS,CF,48,46
James Outman,LAD,CF,65,66
Brenton Doyle,COL,CF,100,100
Corbin Carroll,ARI,CF,62,32
Michael Harris II,ATL,CF,97,93
Riley Greene,DET,CF,56,7
JJ Bleday,OAK,CF,26,3
Luis Matos,SFG,CF,5,6
Joey Wiemer,MIL,CF,96,85
Jacob Young,WSN,CF,56,32
Adley Rutschman,BAL,C,9,56
Alejandro Kirk,TOR,C,50,96
Andrew Knizner,STL,C,3,56
Austin Barnes,LAD,C,0,56
Austin Hedges,2 Tms,C,27,84
Austin Nola,SDP,C,9,84
Austin Wynns,3 Tms,C,84,19
Ben Rortvedt,NYY,C,63,19
Blake Sabol,SFG,C,9,0
Bo Naylor,CLE,C,63,37
Brett Sullivan,SDP,C,50,84
Cal Raleigh,SEA,C,97,37
Cam Gallagher,CLE,C,27,84
Carlos Pérez,OAK,C,73,9
Carson Kelly,2 Tms,C,63,56
Chad Wallach,LAA,C,63,9
Christian Bethancourt,TBR,C,73,1
Christian Vázquez,MIN,C,73,56
Connor Wong,BOS,C,84,56
Curt Casali,CIN,C,63,56
Danny Jansen,TOR,C,9,56
Elias Díaz,COL,C,96,19
Endy Rodríguez,PIT,C,84,37
Eric Haase,2 Tms,C,50,19
Francisco Alvarez,NYM,C,0,37
Francisco Mejía,TBR,C,27,37
Freddy Fermin,KCR,C,63,56
Gabriel Moreno,ARI,C,100,99
Garrett Stubbs,PHI,C,50,56
Gary Sánchez,2 Tms,C,84,56
J.T. Realmuto,PHI,C,27,97
Jacob Stallings,MIA,C,27,56
Jake Rogers,DET,C,9,84
James McCann,BAL,C,73,9
Jason Delay,PIT,C,3,19
Joey Bart,SFG,C,27,9
Jonah Heim,TEX,C,97,19
Jose Herrera,ARI,C,50,56
Jose Trevino,NYY,C,73,56
Keibert Ruiz,WSN,C,3,6
Kyle Higashioka,NYY,C,9,1
Logan O'Hoppe,LAA,C,9,9
Luis Campusano,SDP,C,27,19
Luke Maile,CIN,C,63,37
Martín Maldonado,HOU,C,27,93
Matt Thaiss,LAA,C,27,37
Miguel Amaya,CHC,C,9,37
Mike Zunino,CLE,C,27,9
Mitch Garver,TEX,C,50,19
Nick Fortes,MIA,C,27,99
Omar Narváez,NYM,C,9,37
Patrick Bailey,SFG,C,84,6
Reese McGuire,BOS,C,27,19
René Pinto,TBR,C,50,9
Riley Adams,WSN,C,50,56
Ryan Jeffers,MIN,C,27,56
Salvador Perez,KCR,C,9,19
Sean Murphy,ATL,C,84,56
Seby Zavala,2 Tms,C,9,56
Shea Langeliers,OAK,C,84,1
Tom Murphy,SEA,C,9,37
Travis d'Arnaud,ATL,C,27,19
Tucker Barnhart,CHC,C,27,37
Tyler Stephenson,CIN,C,50,37
Victor Caratini,MIL,C,9,56
Will Smith,LAD,C,73,37
William Contreras,MIL,C,27,19
Willson Contreras,STL,C,73,56
Yainer Diaz,HOU,C,84,93
Yan Gomes,CHC,C,73,84
Yasmani Grandal,CHW,C,3,19