Name,Team,POWER,BAT,SPEED
Aaron Hicks,2 Tms,27,58,85
Aaron Judge,NYY,100,99,65
Adam Duvall,BOS,98,79,83
Adam Frazier,BAL,42,32,77
Adley Rutschman,BAL,46,85,18
Adolis García,TEX,95,86,86
Akil Baddoo,DET,41,30,82
Alan Trejo,COL,17,12,58
Alec Bohm,PHI,49,61,2
Alec Burleson,STL,36,32,7
Aledmys Díaz,OAK,15,8,17
Alejandro Kirk,TOR,15,38,0
Alek Thomas,ARI,34,12,88
Alex Bregman,HOU,60,84,5
Alex Call,WSN,14,13,56
Alex Kirilloff,MIN,57,73,62
Alex Verdugo,BOS,46,53,28
Amed Rosario,2 Tms,20,27,28
Andrés Giménez,CLE,37,39,81
Andrew Benintendi,CHW,8,30,78
Andrew Knizner,STL,64,36,35
Andrew McCutchen,PIT,32,75,31
Andrew Vaughn,CHW,55,52,3
Andruw Monasterio,MIL,6,32,16
Andy Ibáñez,DET,52,51,50
Anthony Rizzo,NYY,29,43,13
Anthony Santander,BAL,81,71,53
Anthony Volpe,NYY,57,20,86
Austin Barnes,LAD,1,0,29
Austin Hays,BAL,52,62,10
Austin Hedges,2 Tms,0,0,48
Austin Riley,ATL,89,91,77
Austin Slater,SFG,27,62,53
Blake Sabol,SFG,46,34,66
Bo Bichette,TOR,52,82,31
Bo Naylor,CLE,88,79,82
Bobby Witt Jr.,KCR,83,73,97
Brandon Belt,TOR,90,93,44
Brandon Crawford,SFG,22,4,63
Brandon Drury,LAA,90,69,9
Brandon Lowe,TBR,80,67,70
Brandon Marsh,PHI,62,88,84
Brandon Nimmo,NYM,72,90,21
Brendan Donovan,STL,31,75,84
Brent Rooker,OAK,92,81,52
Brenton Doyle,COL,32,4,83
Brett Baty,NYM,16,6,42
Brian Anderson,MIL,33,30,19
Brice Turang,MIL,4,5,89
Bryan De La Cruz,MIA,41,39,19
Bryan Reynolds,PIT,73,68,75
Bryce Harper,PHI,78,96,23
Bryson Stott,PHI,31,54,95
Byron Buxton,MIN,87,42,92
C.J. Cron,2 Tms,66,43,4
Cal Raleigh,SEA,85,58,40
Carlos Correa,MIN,52,39,1
Carlos Santana,2 Tms,68,54,77
Casey Schmitt,SFG,22,3,28
Cavan Biggio,TOR,29,50,77
Cedric Mullins,BAL,64,42,85
Charlie Blackmon,COL,49,83,29
Chas McCormick,HOU,82,91,71
Chris Taylor,LAD,64,54,85
Christian Arroyo,BOS,26,10,24
Christian Bethancourt,TBR,44,8,39
Christian Encarnacion-St...,CIN,78,77,24
Christian Vázquez,MIN,9,6,7
Christian Walker,ARI,91,84,60
Christian Yelich,MIL,52,85,98
Christopher Morel,CHC,95,79,78
CJ Abrams,WSN,51,36,99
Cody Bellinger,CHC,83,95,81
Connor Joe,PIT,57,64,60
Connor Wong,BOS,39,22,66
Corbin Carroll,ARI,84,95,100
Corey Julks,HOU,14,17,61
Corey Seager,TEX,99,99,4
Daniel Vogelbach,NYM,55,59,12
Danny Jansen,TOR,93,68,62
Dansby Swanson,CHC,56,56,92
Daulton Varsho,TOR,52,23,82
David Peralta,LAD,23,20,9
DJ LeMahieu,NYY,37,47,2
Dominic Smith,WSN,19,36,10
Donovan Solano,MIN,16,68,19
Drew Waters,KCR,39,26,73
Dylan Carlson,STL,19,23,53
Eddie Rosario,ATL,73,53,33
Edmundo Sosa,PHI,59,39,52
Edouard Julien,MIN,73,92,56
Eduardo Escobar,2 Tms,21,7,36
Edward Olivares,KCR,68,61,44
Elehuris Montero,COL,64,36,48
Elias Díaz,COL,33,46,46
Elly De La Cruz,CIN,58,35,93
Eloy Jiménez,CHW,52,56,19
Elvis Andrus,CHW,14,20,63
Emmanuel Rivera,ARI,11,25,33
Endy Rodríguez,PIT,15,8,55
Enrique Hernández,2 Tms,22,15,17
Eric Haase,2 Tms,4,1,18
Esteury Ruiz,OAK,7,20,99
Eugenio Suárez,SEA,47,45,16
Evan Longoria,ARI,74,38,23
Ezequiel Duran,TEX,51,62,11
Ezequiel Tovar,COL,42,29,44
Fernando Tatis Jr.,SDP,70,64,84
Francisco Alvarez,NYM,86,40,11
Francisco Lindor,NYM,82,77,99
Freddie Freeman,LAD,90,98,94
Freddy Fermin,KCR,62,65,25
Gabriel Arias,CLE,34,11,31
Gabriel Moreno,ARI,24,56,1
Garrett Cooper,2 Tms,52,45,9
Garrett Hampson,MIA,13,54,73
Gary Sánchez,2 Tms,97,61,26
Gavin Sheets,CHW,27,5,48
George Springer,TOR,37,51,31
Geraldo Perdomo,ARI,19,50,93
Giancarlo Stanton,NYY,87,27,5
Gio Urshela,LAA,3,37,31
Gleyber Torres,NYY,62,77,6
Gunnar Henderson,BAL,89,77,94
Ha-Seong Kim,SDP,31,62,94
Harold Castro,COL,1,4,40
Harold Ramírez,TBR,38,82,70
Harrison Bader,2 Tms,20,8,91
Henry Davis,PIT,31,18,26
Hunter Renfroe,2 Tms,64,38,33
Ian Happ,CHC,64,75,73
Ildemaro Vargas,WSN,17,22,19
Isaac Paredes,TBR,91,91,39
Isiah Kiner-Falefa,NYY,11,17,21
J.D. Davis,SFG,50,52,24
J.D. Martinez,LAD,99,93,13
J.P. Crawford,SEA,56,90,70
J.T. Realmuto,PHI,75,55,33
Jace Peterson,2 Tms,10,11,73
Jack Suwinski,PIT,87,72,93
Jacob Stallings,MIA,9,3,4
Jake Bauers,NYY,80,27,21
Jake Burger,2 Tms,96,82,66
Jake Cave,PHI,29,8,66
Jake Cronenworth,SDP,38,32,85
Jake Fraley,CIN,67,68,75
Jake McCarthy,ARI,5,20,90
Jake Meyers,HOU,42,27,80
Jake Rogers,DET,85,43,55
James McCann,BAL,42,13,42
James Outman,LAD,67,74,95
Jared Triolo,PIT,11,83,73
Jarred Kelenic,SEA,51,52,57
Jarren Duran,BOS,67,86,96
Jason Heyward,LAD,77,81,40
Javier Báez,DET,13,5,78
Jazz Chisholm Jr.,MIA,78,56,88
Jean Segura,MIA,1,2,25
Jeff McNeil,NYM,15,46,71
Jeimer Candelario,2 Tms,83,77,68
Jeremy Peña,HOU,21,40,53
Jesús Sánchez,MIA,73,67,28
Ji Hwan Bae,PIT,4,10,82
JJ Bleday,OAK,48,27,65
Joc Pederson,SFG,63,63,36
Joey Gallo,MIN,95,51,65
Joey Meneses,WSN,25,46,8
Joey Votto,CIN,88,58,44
Joey Wendle,MIA,8,1,55
Joey Wiemer,MIL,46,16,63
Jon Berti,MIA,17,56,60
Jonah Heim,TEX,60,55,58
Jonathan India,CIN,49,59,46
Jordan Diaz,OAK,34,12,16
Jordan Walker,STL,52,72,36
Jordan Westburg,BAL,34,39,62
Jorge Mateo,BAL,24,6,91
Jorge Polanco,MIN,74,71,71
Jorge Soler,MIA,95,90,12
José Abreu,HOU,36,25,9
Jose Altuve,HOU,80,97,42
José Caballero,SEA,12,35,94
José Ramírez,CLE,72,77,97
Jose Siri,TBR,96,50,90
Josh Bell,2 Tms,56,54,5
Josh H. Smith,TEX,34,18,35
Josh Jung,TEX,75,67,18
Josh Lowe,TBR,78,86,97
Josh Naylor,CLE,62,86,12
Josh Rojas,2 Tms,8,16,93
Joshua Palacios,PIT,57,27,37
Juan Soto,SDP,93,97,8
Julio Rodríguez,SEA,79,79,97
Jurickson Profar,2 Tms,25,35,18
Justin Turner,BOS,60,77,13
Ke'Bryan Hayes,PIT,63,55,33
Keibert Ruiz,WSN,39,40,1
Kerry Carpenter,DET,72,79,51
Ketel Marte,ARI,79,90,16
Kevin Kiermaier,TOR,41,51,19
Kevin Newman,CIN,17,26,52
Kevin Pillar,ATL,67,13,66
Kolten Wong,2 Tms,4,1,46
Kris Bryant,COL,28,32,25
Kyle Farmer,MIN,40,49,58
Kyle Higashioka,NYY,60,23,37
Kyle Isbel,KCR,32,17,90
Kyle Schwarber,PHI,97,83,40
Kyle Tucker,HOU,89,95,96
LaMonte Wade Jr.,SFG,48,79,50
Lane Thomas,WSN,75,67,95
Lars Nootbaar,STL,45,74,77
Leody Taveras,TEX,42,49,88
Liover Peguero,PIT,29,16,44
Lourdes Gurriel Jr.,ARI,75,61,16
Luis Arraez,MIA,20,93,21
Luis García,WSN,22,27,21
Luis Matos,SFG,8,25,39
Luis Rengifo,LAA,62,69,53
Luis Robert Jr.,CHW,97,88,76
Luke Raley,TBR,92,85,88
Maikel Garcia,KCR,5,30,40
Manny Machado,SDP,77,67,13
Manuel Margot,TBR,19,30,31
Marcell Ozuna,ATL,98,96,46
Marcus Semien,TEX,75,86,80
Mark Canha,2 Tms,31,65,63
Mark Vientos,NYM,44,7,25
Martín Maldonado,HOU,45,6,21
Masataka Yoshida,BOS,44,69,5
Matt Carpenter,SDP,34,23,50
Matt Chapman,TOR,66,60,77
Matt Duffy,KCR,3,14,48
Matt McLain,CIN,82,95,62
Matt Olson,ATL,99,98,70
Matt Thaiss,LAA,25,25,36
Matt Vierling,DET,26,47,42
Matt Wallner,MIN,94,96,70
Mauricio Dubón,HOU,28,42,53
Max Kepler,MIN,85,81,13
Max Muncy,LAD,95,74,63
Michael A. Taylor,MIN,84,38,78
Michael Conforto,SFG,35,47,60
Michael Harris II,ATL,65,75,89
Michael Massey,KCR,40,15,77
Mickey Moniak,LAA,81,69,52
Miguel Cabrera,DET,10,30,6
Miguel Rojas,LAD,5,8,29
Miguel Vargas,LAD,56,25,58
Mike Ford,SEA,93,73,25
Mike Moustakas,2 Tms,35,24,35
Mike Tauchman,CHC,25,62,78
Mike Trout,LAA,86,93,73
Mike Yastrzemski,SFG,80,65,55
Mitch Garver,TEX,87,96,35
Mitch Haniger,SFG,44,10,58
MJ Melendez,KCR,49,40,39
Mookie Betts,LAD,96,99,86
Myles Straw,CLE,1,8,90
Nathaniel Lowe,TEX,40,71,1
Nick Ahmed,ARI,7,2,48
Nick Allen,OAK,2,1,50
Nick Castellanos,PHI,77,68,7
Nick Fortes,MIA,9,3,33
Nick Madrigal,CHC,6,24,33
Nick Maton,DET,28,8,44
Nick Pratto,KCR,23,22,46
Nick Senzel,CIN,49,32,68
Nicky Lopez,2 Tms,3,19,56
Nico Hoerner,CHC,12,53,100
Nolan Arenado,STL,72,59,15
Nolan Gorman,STL,92,75,81
Nolan Jones,COL,93,97,83
Orlando Arcia,ATL,44,52,26
Oscar Colás,CHW,11,2,68
Oswaldo Cabrera,NYY,6,3,68
Owen Miller,MIL,16,22,73
Ozzie Albies,ATL,89,88,91
Patrick Bailey,SFG,25,15,42
Patrick Wisdom,CHC,99,65,56
Paul DeJong,3 Tms,38,6,11
Paul Goldschmidt,STL,60,83,81
Pavin Smith,ARI,29,23,44
Pete Alonso,NYM,98,77,29
Rafael Devers,BOS,87,90,11
Ramón Laureano,2 Tms,37,29,39
Ramón Urías,BAL,17,40,61
Randal Grichuk,2 Tms,70,65,18
Randy Arozarena,TBR,55,79,73
Reese McGuire,BOS,7,23,26
Riley Greene,DET,47,74,68
Rob Refsnyder,BOS,2,46,35
Robbie Grossman,TEX,44,54,68
Rodolfo Castro,2 Tms,16,12,11
Ronald Acuña Jr.,ATL,94,100,98
Rowdy Tellez,MIL,48,19,10
Royce Lewis,MIN,91,97,53
Ryan Jeffers,MIN,81,93,29
Ryan McMahon,COL,70,56,3
Ryan Mountcastle,BAL,63,65,63
Ryan Noda,OAK,59,72,48
Ryan O'Hearn,BAL,70,69,46
Sal Frelick,MIL,13,39,87
Salvador Perez,KCR,51,32,13
Santiago Espinal,TOR,6,16,57
Sean Murphy,ATL,86,92,6
Seiya Suzuki,CHC,75,88,14
Seth Brown,OAK,65,29,29
Shea Langeliers,OAK,78,20,24
Shohei Ohtani,LAA,100,100,86
Spencer Steer,CIN,71,87,71
Spencer Torkelson,DET,81,58,61
Starling Marte,NYM,3,12,90
Steven Kwan,CLE,12,45,70
Stone Garrett,WSN,67,74,58
Stuart Fairchild,CIN,48,43,78
Taylor Walls,TBR,27,18,96
Taylor Ward,LAA,52,61,37
Teoscar Hernández,SEA,60,50,18
Thairo Estrada,SFG,35,49,92
Tim Anderson,CHW,0,4,39
TJ Friedl,CIN,68,85,99
Tommy Edman,STL,39,36,73
Tommy Pham,2 Tms,69,64,84
Tony Kemp,OAK,9,11,37
Travis d'Arnaud,ATL,56,27,37
Travis Jankowski,TEX,2,43,57
Trea Turner,PHI,71,65,98
Trent Grisham,SDP,41,30,89
Trevor Larnach,MIN,76,45,60
Trey Mancini,CHC,12,13,29
Triston Casas,BOS,86,92,26
Tucupita Marcano,PIT,24,11,53
Ty France,SEA,20,47,0
Tyler O'Neill,STL,56,45,40
Tyler Stephenson,CIN,29,35,4
Tyrone Taylor,MIL,80,32,68
Victor Caratini,MIL,24,43,15
Vinnie Pasquantino,KCR,69,59,19
Vladimir Guerrero Jr.,TOR,60,71,2
Wander Franco,TBR,73,82,53
Whit Merrifield,TOR,16,35,65
Will Benson,CIN,84,93,75
Will Brennan,CLE,7,16,66
Will Smith,LAD,59,75,75
Willi Castro,MIN,41,59,96
William Contreras,MIL,52,88,14
Willson Contreras,STL,77,88,7
Willy Adames,MIL,69,42,48
Wilmer Flores,SFG,85,93,24
Xander Bogaerts,SDP,41,73,39
Yainer Diaz,HOU,94,86,8
Yan Gomes,CHC,32,43,31
Yandy Díaz,TBR,71,98,2
Yasmani Grandal,CHW,13,19,3
Yoán Moncada,CHW,50,47,51
Yordan Alvarez,HOU,98,99,21
Yuli Gurriel,MIA,19,18,46
Zach McKinstry,DET,23,20,71
Zach Neto,LAA,40,32,46
Zack Gelof,OAK,91,88,85
Zack Short,DET,29,14,44